/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Jul 15 01:37:38 +0000 2016;maira203;RT @SouCalmo: Cancelem o #Rio2016... A polícia ñ dá conta de traficante, akeles q o piçol defende, imagina contra jihadista. https://t.co/f…;
Fri Jul 15 01:37:22 +0000 2016;AnySavielly;RT @sheillacastro: Muito muito feliz!!! Agora é continuar a preparação pra olimpíada!!! Atletas e comissão foram demais!!! #rio2016 https:/…;
Fri Jul 15 01:36:36 +0000 2016;Danielcandidofc;【DREAM "FITA" PROJECT | Panasonic】O Neymar Jr. está torcendo pelo seu sonho. https://t.co/y0Emr9fCII https://t.co/Mrte5XwPsx;
Fri Jul 15 01:35:11 +0000 2016;FamousLifeSty;Com celebridades, muita festa e boa comida, casas dos países agitam a cidade durante os Jogos ... https://t.co/8rac3gZlgt;
Fri Jul 15 01:35:10 +0000 2016;Crf_rafael1;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
Fri Jul 15 01:34:45 +0000 2016;EduardoRiosOL;Legado Rio2016. Sem falar nas obras que desconhecemos, né? https://t.co/xsxQI5tQyj;
Fri Jul 15 01:34:38 +0000 2016;_Biell99;RT @_UrubuNews_: Gávea amanheceu mais bonita nesta quinta-feira c/ a Myrtha, a nova piscina do @Flamengo, que será usada no @Rio2016. https…;
Fri Jul 15 01:32:27 +0000 2016;deboracabralmen;Eu e a tocha olímpica! #rio2016 #agoraério2016 #eueatocha https://t.co/ESh9c7Y4Br;
Fri Jul 15 01:32:14 +0000 2016;lucianobraz;As Olimpíadas vem aí! #Rio2016 https://t.co/pYb5mjFG4e;
Fri Jul 15 01:30:25 +0000 2016;denis9fduart;RT @Gaviao_SCCP: Sou jornalista,vou trabalhar na @Rio2016,mas,se dependesse de nós,nem poderia ter olimpiadas,pois o Brasil e o RJ,não tem…;
