/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Jul 28 02:57:06 +0000 2016;verysadw;RT @gusthpa: A tocha chegou no Rio e foi APAGADA em Angra dos Reis! HAHAHAHAHA

#Rio2016  #ChamaOlimpica https://t.co/KfBxHEP7IV;
Thu Jul 28 02:57:02 +0000 2016;julianacosmoski;RT @VEJAEsporte: Ele chegou: Bolt desembarca no Brasil para a #Rio2016
https://t.co/3qfrqJj0Dt https://t.co/ETyWpXH1ow;
Thu Jul 28 02:56:58 +0000 2016;citadao;RT @folha: Comitê é multado em R$ 315 mil por operários sem registro na Vila Olimpíca https://t.co/lg1U8RseXx #Rio2016 https://t.co/KsF2BLE…;
Thu Jul 28 02:56:43 +0000 2016;Betacpm;RT @PanichiRaphael: 02. Cada vez pior o #Rio2016 ! Angra super feliz com a passagem da Tocha! E Yes, conseguiram apagar! Uhuu! https://t.co…;
Thu Jul 28 02:56:27 +0000 2016;MarquJaqueane;RT @Brasil2016: O @kobrastreetart fez o mural da união dos povos no #Rio2016. Olha o detalhe do trabalho. https://t.co/0bBGFbXDLW 👍💪 https:…;
Thu Jul 28 02:56:07 +0000 2016;LifeStyleENV;Cultura na bagagem durante os Jogos Olímpicos e Paralímpicos #Rio2016 #CidadeOlímpica #EmbarqueNaViagem https://t.co/frv0zSuD8G;
Thu Jul 28 02:56:05 +0000 2016;Nairoquinha;48 horas pelas belezas imperdíveis do #RiodeJaneiro Dicas para curtir as #OlimpíadasnoRio #Rio2016 #EmbarqueNaViagem https://t.co/JOElpWbMMU;
Thu Jul 28 02:55:34 +0000 2016;LemosTatsch;RT @policiafederal: Nós vamos contar para você as nossas atividades nos Jogos! Fique ligado!
#Rio2016 #JogosSeguros https://t.co/Rh0n3QH3nI;
Thu Jul 28 02:55:28 +0000 2016;FimDeJogoVR;Em 1º dia em solo fluminense, revezamento da tocha é marcado por tumulto em Angra e 2 detidos p/ esclarecimento em VR #Rio2016 #FDJnaRio2016;
Thu Jul 28 02:55:10 +0000 2016;verysadw;@VEJA @Rio2016 eu amo minha cidade;
Thu Jul 28 02:54:58 +0000 2016;irmaocabelao;@CorreiosBR @Rio2016 Observando todos os comentários da pra perceber que é 100% de insatisfação. O que eles não sabem é que a Empresa é boa.;
Thu Jul 28 02:54:44 +0000 2016;DiegoDGTW;QUÊ BELEZA, APAGARAM A TOCHA!!!! QUEM FOI O HERÓI???
#apagaramatocha
#rio2016
#tochapratrouxa https://t.co/KFPDXRHbiy;
Thu Jul 28 02:54:36 +0000 2016;gasparjuliano;RT @TwitterAdsBR: O Twitter criou um dashboard completo sobre o #Rio2016.
Acesse agora. 
https://t.co/D187522mX0;
Thu Jul 28 02:54:35 +0000 2016;oldpargelis;RT @MetroJornal_SP: #Rio2016

Putin critica veto a atletas russos e Isinbayeva chora em evento

https://t.co/HT2kL39YOX https://t.co/cJgYS6…;
Thu Jul 28 02:54:34 +0000 2016;celukinha;@VEJAEsporte @VEJA @usainbolt Aposto que ele não vai reclamar da Vila Olímpica, só os fracos reclamam...seja bem-vindo ao #Rio2016!;
Thu Jul 28 02:54:21 +0000 2016;DannyBeegie;RT @Rio2016: A lenda @usainbolt chegou ao Rio de Janeiro para os @JogosOlimpicos! Seja bem-vindo ⚡⚡⚡ #BeTheFastest #Rio2016 https://t.co/Q5…;
Thu Jul 28 02:54:19 +0000 2016;MissBonsai;RT @dilmabr: Venha conversar comigo e c/ o ministro Leyser sobre os Jogos #Rio2016. Envie a sua pergunta! https://t.co/siK9qg0Efz https://t…;
Thu Jul 28 02:53:42 +0000 2016;Umma_Walker;RT @pedrohenricksc: VERGONHA VOCÊS TEM QUE TER É DA CARA FEIA DE VOCÊS.
EU TENHO É ORGULHO DE ANGRA DOS REIS TER APAGADO A #TochaOlimpica #…;
Thu Jul 28 02:53:08 +0000 2016;nanicapella;RT @HotFly8: Privilégio branco é o seu bonde ter essa aparência cansada e fazer sucesso só porque é gringo australiano. #Rio2016 https://t.…;
Thu Jul 28 02:52:59 +0000 2016;Dangonzaga6;RT @g1: Lutador neozelandês diz ter pago R$ 2 mil para PMs que o sequestraram no RJ https://t.co/W5hOm5tljI #Rio2016 #G1 https://t.co/GoIjn…;
Thu Jul 28 02:52:38 +0000 2016;TopsAngra;RT @gusthpa: A tocha chegou no Rio e foi APAGADA em Angra dos Reis! HAHAHAHAHA

#Rio2016  #ChamaOlimpica https://t.co/KfBxHEP7IV;
Thu Jul 28 02:52:23 +0000 2016;cida0_0;RT @policiafederal: Nós vamos contar para você as nossas atividades nos Jogos! Fique ligado!
#Rio2016 #JogosSeguros https://t.co/Rh0n3QH3nI;
Thu Jul 28 02:52:00 +0000 2016;robertoadvogado;The latest  Diário roberto silveira ! https://t.co/RHmNHe16Tj Thanks to @professorLFG @PortalAdvogado #rio2016 #neuroscience;
Thu Jul 28 02:51:57 +0000 2016;garonpiceli;RT @Brasil2016: O @kobrastreetart fez o mural da união dos povos no #Rio2016. Olha o detalhe do trabalho. https://t.co/0bBGFbXDLW 👍💪 https:…;
Thu Jul 28 02:51:28 +0000 2016;cida0_0;RT @GEdoBrasil: Haja inovação para cuidar da saúde dos atletas nos Jogos @Rio2016! https://t.co/3UtZtVpOI6 #OsJogosjáComeçaram https://t.co…;
