/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun May 15 01:22:34 +0000 2016;schnellflu;RT @zappedaniel: Uma foto feita por mim hoje no Tour da Tocha Olímpica em Belo Horizonte #CPB #mpixburn #Rio2016 https://t.co/trODpWIkD6;
Sun May 15 01:20:46 +0000 2016;aboiola;Olimpíadas para atletas e homenagear ex-atletas... youtuber...modelos...jornalistas...kkkkkkkk Que merda
 https://t.co/7oi7kETgrC;
Sun May 15 01:20:40 +0000 2016;zappedaniel;Uma foto feita por mim hoje no Tour da Tocha Olímpica em Belo Horizonte #CPB #mpixburn #Rio2016 https://t.co/trODpWIkD6;
Sun May 15 01:14:29 +0000 2016;nickmovie;@Rio2016_en @danilo_sanches @Olympics @Paralympics queria a animação dessa doida para defender a democracia. Trabalhando onde trabalha nem..;
Sun May 15 01:12:40 +0000 2016;srwluiz;@Rio2016_en @danilo_sanches podre essa "jornalista" ela tá mais pra atriz de novela mexicana. Só sabe chorar quando convém pro bolso dela.;
Sun May 15 01:11:26 +0000 2016;Urameshi_Yusuke;RT @Nissan_Oficial: Sabe qual foi o look do dia da @hojevouassim? A @ChamaOlimpica! #QuemSeAtreve #Rio2016 https://t.co/k5UXxc6jXF;
Sun May 15 01:10:37 +0000 2016;Dasilva20117;#PaulaFernandes #RevezamentoDaTocha #TochaOlimpica #Rio2016 #BeloHorizonte @ Belo Horizonte,… https://t.co/VMXZkMbgu2;
Sun May 15 01:09:26 +0000 2016;JoaoPaulo_Bueno;A tocha passou pela capital mineira...
#tochaolímpica #chamaolimpica #bhz #bra #bradesco #Rio2016 https://t.co/JwYoJhHFkd;
Sun May 15 01:07:25 +0000 2016;lucrstp;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:04:54 +0000 2016;YesbananasSport;Velocista discute com jornalista e vence os 100m no evento-teste:  https://t.co/QQ8p7pPuZa #sports #esportes;
Sun May 15 01:03:48 +0000 2016;RSMiranda_;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 01:03:05 +0000 2016;jhceline_7;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 01:02:11 +0000 2016;silvapaulinho;RT @Nissan_Oficial: Hoje a Terezinha Guilhermina levou o ouro em mais uma prova: a condução da @ChamaOlimpica! #QuemSeAtreve #Rio2016
https…;
Sun May 15 00:54:43 +0000 2016;soubhuai;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:53:47 +0000 2016;rosanebn;RT @cpboficial: É GOOOL! É do @ricardinhofut5! É DO BRASIL!!! Preparem-se para o @Rio2016! Vem muito gol por aí! #Fut5 @cbdvonline
https://…;
Sun May 15 00:53:30 +0000 2016;ELLENAKRIS;@Rio2016 @ChamaOlimpica adoro!;
Sun May 15 00:53:20 +0000 2016;biaapimentaa;RT @LuizFGodinho: Em BH, @ChamaOlimpica da @Rio2016 é conduzida pelo @ACNURBrasil e homenageia refugiados do mundo @ONUBrasil https://t.co/…;
Sun May 15 00:52:59 +0000 2016;julianajmarcal;@Rio2016 @ChamaOlimpica o que ela tem a ver com olimpíada?;
Sun May 15 00:52:55 +0000 2016;user_dany;RT @Rio2016: A #TochaOlímpica #Rio2016 já caiu no gosto dos atletas. @sheillacastro, bicampeã Olímpica de #vôlei, achou ela linda
https://t…;
Sun May 15 00:52:42 +0000 2016;denisgodoy;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:51:16 +0000 2016;yeshualcb;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:49:45 +0000 2016;BladeBoyRio;RT @parsonsandrew: Hoje conduzirei a #TochaOlimpica @Rio2016 por Brasília. Apesar de já ter conduzido antes, em casa a emoção é maior. http…;
Sun May 15 00:49:39 +0000 2016;fabioruivo;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:49:29 +0000 2016;lane16ok;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:48:38 +0000 2016;RuiGuiFilho;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:48:21 +0000 2016;The_Brazilian15;RT @TorcidaBrasil2: Rainha #Marta fala sobre a Final de #Beijing2008
Não chore, garota! Vocês terão outra chance!
#83Dias #Rio2016 https://…;
Sun May 15 00:47:36 +0000 2016;M4RI4TEIXON;Espero que minha carta convite chegue ate fim do mes do @Rio2016 🙅💚;
Sun May 15 00:46:12 +0000 2016;pausse;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:44:56 +0000 2016;anaid190967;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:44:49 +0000 2016;imastargirl;RT @SiteLF: O Linha de Fundo está no Estádio Olímpico do RJ (Engenhão) acompanhando os índices olímpicos pro atletismo. #Rio2016 https://t.…;
Sun May 15 00:44:23 +0000 2016;brunapascoal63;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:43:52 +0000 2016;imbadnews;Tão um cara que me constrange https://t.co/35ffr2eWLa;
Sun May 15 00:43:44 +0000 2016;yeahmylady;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:42:44 +0000 2016;_markov1c;@Rio2016 pq jornalistas carregam a @ChamaOlimpica ?;
Sun May 15 00:42:43 +0000 2016;JulietteWoolf;RT @parsonsandrew: Hoje conduzirei a #TochaOlimpica @Rio2016 por Brasília. Apesar de já ter/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
 conduzido antes, em casa a emoção é maior. http…;
Sun May 15 00:40:41 +0000 2016;CristanoRonaldu;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:40:15 +0000 2016;mahandfaves;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:39:39 +0000 2016;viniciuszg;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 00:38:55 +0000 2016;Rio2016HQ;Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.co/K9oAANPEo5;
