/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu May 26 00:17:48 +0000 2016;ValeeeeBs;RT @danielaonline: O registro mais lindo de todos os tempos. @danielamercury e sua magnitude. #Rio2016 ✨🇧🇷⛹🏽⚽️🌧🙏🏽 https://t.co/99nLbVHYQP;
Thu May 26 00:17:43 +0000 2016;ValeeeeBs;RT @P_Sofia_P: A emoção e o orgulho que ficarão para sempre... ❤  #Rio2016 #TochaOlímpica https://t.co/9Z0HlZt2Of;
Thu May 26 00:15:23 +0000 2016;AnnWill92;RT @Esp_Interativo: Brasil e Russia se enfrentarão novamente nos Jogos Olímpicos @Rio2016! Quem vai vencer?

Brasil = RT
Rússia = ❤ https:/…;
Thu May 26 00:14:56 +0000 2016;vale_tavares;RT @danielamercury: Assistir no #Periscope: Daniela Mercury e J QuestShow da Tocha, em Salvador! #chamaolimpica #rio2016 https://t.co/3Xx3Z…;
Thu May 26 00:14:50 +0000 2016;futebolde5;RT @minesporte: O álbum de figurinhas @Rio2016, feito junto com COB e CPB, traz informações dos atletas e dos esportes. https://t.co/G3lIT6…;
Thu May 26 00:14:21 +0000 2016;vale_tavares;RT @danielamercury: Assistir no #Periscope: Show da Tocha Olímpica no Farol da Barra, em Salvador. #chamaolimpica #rio2016 https://t.co/8f0…;
Thu May 26 00:12:09 +0000 2016;jacquelinecdias;RT @minesporte: O álbum de figurinhas @Rio2016, feito junto com COB e CPB, traz informações dos atletas e dos esportes. https://t.co/G3lIT6…;
Thu May 26 00:05:09 +0000 2016;GabrielLucasSFC;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 00:00:36 +0000 2016;_AnaaLorena;RT @LeonardoPimenta: E galera tá cagando para a tocha olímpica né? #olimpiadas #Rio2016 #foratemer;
Wed May 25 23:58:29 +0000 2016;elsonportoprof;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Wed May 25 23:57:40 +0000 2016;parsonsandrew;RT @cpboficial: Atletas paralímpicos viram figurinhas do álbum oficial dos Jogos @Rio2016  https://t.co/UkIlae1lPo https://t.co/9wIz1UcyaG;
Wed May 25 23:56:32 +0000 2016;jhceline_7;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Wed May 25 23:50:51 +0000 2016;DigiNomadNation;RT @alfredo_cunha: Crise e desgoverno levam Rio ao calote #Rio2016 #RioOlympics2016 #dívida    #Errejota  @eduardopaes_ @LFPezao  https://t…;
Wed May 25 23:48:28 +0000 2016;Folhaovento;RT @portalfab: Mais um #atletaFAB com índice e lugar garantidos na #Rio2016!!! É tua, Sgt Darlan!! Vamos lutar pela medalha!💪 https://t.co/…;
