/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon May 16 00:35:58 +0000 2016;vonthie;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:34:48 +0000 2016;denisebarbosa;@RecrutaJr @Rio2016 mineira de Juiz de Fora.;
Mon May 16 00:33:41 +0000 2016;DanieIFontinele;@Rio2016 @ChamaOlimpica PASSA AQUI NO RIO?!;
Mon May 16 00:32:55 +0000 2016;DayCRF_;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:32:21 +0000 2016;tollendal;RT @portalfab: Samuel de A Andrade, aluno da #EPCAR, representou a Escola hoje na passagem da #ChamaOlimpica por Barbacena #Rio2016 https:/…;
Mon May 16 00:32:20 +0000 2016;Rio2016;Amanhã a @ChamaOlimpica passa por: Bicas, Leopoldina e Muriaé (MG) - Bom Jesus do Itabapoana e Itaperuna (RJ) - Cachoeiro de Itapemirim (ES);
Mon May 16 00:30:51 +0000 2016;mandacrf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:30:11 +0000 2016;__GabrielRuan;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:28:09 +0000 2016;XinPivy;#Rio2016 pelas crianças que nasceram condenadas com a microcefalia *apague a tocha*;
Mon May 16 00:27:51 +0000 2016;gianzucchetti;Obras do complexo olímpico no Rio utilizam areia e saibro retirados de áreas clandestinas e ilegais #Rio2016;
Mon May 16 00:27:49 +0000 2016;carlloseduarddo;Olha a tocha 🔥 #rio2016 #olimpiadas #chamaolimpica #tochario2016 #olympics #juizdefora https://t.co/BKhjENNTxx;
Mon May 16 00:26:00 +0000 2016;Monicaspaixao;RT @Rio2016: #ChamaOlimpica chega em Barbacena e é recebida com pétalas de flores! 😍🌷 https://t.co/SomwZIwV0F;
Mon May 16 00:25:48 +0000 2016;XinPivy;#Rio2016 pelas doenças irradicadas que voltaram a assombrar o povo brasileiro *apague a tocha*;
Mon May 16 00:22:47 +0000 2016;Teteu_CR7;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:20:52 +0000 2016;murilo_lelis;Lá vem denúncia...

#fantástico @showdavida #Rio2016;
Mon May 16 00:19:44 +0000 2016;MariiVian;RT @theoalecrim: O melhor do Brasil é o brasileiro. 

Sério.

#Rio2016 #TochaOlimpica #olimpiadas https://t.co/piDW6Nu7Q1;
Mon May 16 00:17:47 +0000 2016;annabeatrizcrf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:16:21 +0000 2016;_itsbaixinha;As melhores pessoas sao os atendentes do @Rio2016!!!;
Mon May 16 00:16:21 +0000 2016;ppcrato;RT @RaUL_AMDERLAINE: CEMPRE ACENDO A PIRA AQUI EM CASA @Rio2016 MESMO EM ÉPOCA FORA DE OLEMPÍADA https://t.co/t935wNJjoa;
Mon May 16 00:16:07 +0000 2016;FlamenguistaB;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:16:03 +0000 2016;FellipeC;RT @RaUL_AMDERLAINE: CEMPRE ACENDO A PIRA AQUI EM CASA @Rio2016 MESMO EM ÉPOCA FORA DE OLEMPÍADA https://t.co/t935wNJjoa;
Mon May 16 00:16:02 +0000 2016;ReiNatoSouza;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:15:52 +0000 2016;feiipes;Eu tinha um crush fortíssimo nesse moço. https://t.co/uGQKU537CD;
Mon May 16 00:15:26 +0000 2016;RaUL_AMDERLAINE;CEMPRE ACENDO A PIRA AQUI EM CASA @Rio2016 MESMO EM ÉPOCA FORA DE OLEMPÍADA https://t.co/t935wNJjoa;
Mon May 16 00:14:27 +0000 2016;Rio2016;E depois de acender a pira em Juiz de Fora, André Nascimento fala um pouco da sensação. Obrigado, campeão!
https://t.co/S2rkp1QXis;
Mon May 16 00:14:05 +0000 2016;6_gabrielle;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:12:32 +0000 2016;jviictor7;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:11:38 +0000 2016;alves_marcus;RT @pedroivoalmeida: Rosângela deu chilique mais cedo. Falta de educação com o @Vini_Nicoletti. À noite, venceu os 100m. https://t.co/o60fm…;
Mon May 16 00:10:49 +0000 2016;daianacrf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:10:07 +0000 2016;MatheusyuriFc;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:10:02 +0000 2016;anjoslariii;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:09:35 +0000 2016;BananeiraF;@maryht325 Levo maior Fé na Plantação da Jovem Atlética Mesmo!!!! Mas, ela já deve Jogar GolF !!!! Será que Planta Mesmo???? #RIO2016;
Mon May 16 00:09:17 +0000 2016;hinacrf;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:09:01 +0000 2016;Junior_Teruel18;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:08:56 +0000 2016;fpCRF_;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:08:24 +0000 2016;Rio2016HQ;Aguardado pelo público e pela família, André Nascimento - campeão Olímpico do vôlei - chega para acender a pira! https://t.co/6MlXYLfoOt;
Mon May 16 00:08:23 +0000 2016;Rio2016HQ;Vitória, superação, reconhecimento - Alexandre Ank, medalhista de #TênisDeMesa Paralímpico sobre a #TochaOlímpica. https://t.co/ZdA47VWmx4;
Mon May 16 00:07:47 +0000 2016;Sharlieoliveira;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 00:07:31 +0000 2016;dortmundinho;https://t.co/Zo8GFRtcRE
meus conterraneos #Rio2016;
