/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat May 28 00:14:33 +0000 2016;GIFFONIBRAVO;@VEJA @ChamaOlimpica @Rio2016 E O NOSSO DINHEIRO. ,........QUEIMANDO. .........;
Sat May 28 00:13:52 +0000 2016;arthur91053053;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:13:06 +0000 2016;vitortorres;Zika: Movimento internacional de cientistas pede que Olimpíadas mude de local ou seja adiada. #rio2016 https://t.co/TMyA7YHMFS;
Sat May 28 00:09:03 +0000 2016;VivianneSRF;@Rio2016 Quando irá abrir novamente as vendas pro Tênis? e pra volta final masculina no Golfe?;
Sat May 28 00:06:10 +0000 2016;Terezinh4;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 00:05:56 +0000 2016;denisborges26;@JornalOGlobo @elpais_brasil Grupo enviou carta aberta à @opsoms pedindo o adiamento ou mudança de local da @Rio2016 https://t.co/OPGl0dhfbo;
Sat May 28 00:05:35 +0000 2016;AndrusVolei5;RT @pri_veloso: República Dominicana tá fubá demais hein. Eu quero jogo #Rio2016;
Sat May 28/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
 00:05:13 +0000 2016;Biasantosreal96;RT @ChamaOlimpica: Tô com meu álbum do #Rio2016 e eu sou os "xis", mas preciso das figurinhas! Se me tirar, marque a @ChamaOlimpica 😉 https…;
Sat May 28 00:05:11 +0000 2016;pri_veloso;República Dominicana tá fubá demais hein. Eu quero jogo #Rio2016;
Sat May 28 00:04:34 +0000 2016;Danieljudosurf;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Sat May 28 00:04:05 +0000 2016;denisborges26;@bbcbrasil @elpais_brasil grupo enviou carta aberta à @opsoms pedindo o adiamento ou mudança de local da @Rio2016 https://t.co/OPGl0dhfbo;
Sat May 28 00:03:49 +0000 2016;gabrieldread;The latest O que "eles" não querem q vc saiba!! https://t.co/mCx5Olll24 Thanks to @jwallauer @gabrielsubtil @AnthonyBoadle #brazil #rio2016;
Sat May 28 00:00:24 +0000 2016;pri_veloso;Vou fazer a linha chata, mas espero que a Sheilla jogue #Rio2016;
Fri May 27 23:58:39 +0000 2016;rbufolin;Sergio Sasaki - BRA

#fig #cbg #caixa #ministeriodoesporte #canon #adidas #gimnastic #artistic #bra #rio2016 https://t.co/sSrZaH6AZZ;
Fri May 27 23:56:41 +0000 2016;zeangels;RT @Rio2016: Luiz Junior Ferreira é coreógrafo e irá fazer apresentações em homenagem a são Francisco, padroeiro de Paulo Afonso. https://t…;
Fri May 27 23:56:15 +0000 2016;JrWandeir;Retweeted Rio 2016 (@Rio2016):

Colégio Sete de Setembro vai apresentar um teatro sobre a caatinga e o cangaço em... https://t.co/iptJeOXaZ8;
Fri May 27 23:56:10 +0000 2016;JrWandeir;RT @Rio2016: Colégio Sete de Setembro vai apresentar um teatro sobre a caatinga e o cangaço em Paulo afonso. Olha quem vai ver! https://t.c…;
Fri May 27 23:53:21 +0000 2016;JrWandeir;Retweeted Rio 2016 (@Rio2016):

Luiz Junior Ferreira é coreógrafo e irá fazer apresentações em homenagem a são... https://t.co/TyIoSZpxaf;
Fri May 27 23:53:19 +0000 2016;JrWandeir;RT @Rio2016: Luiz Junior Ferreira é coreógrafo e irá fazer apresentações em homenagem a são Francisco, padroeiro de Paulo Afonso. https://t…;
Fri May 27 23:53:07 +0000 2016;Olimpiadas_Fire;RT @SeuEsporteBR: Contagem Regressiva! Faltam 70 dias para os Jogos Olímpicos #Rio2016
#RumoAoRio #RoadToRio #RumboaRio #ChamaOlimpica http…;
Fri May 27 23:52:39 +0000 2016;robsoncaetano1;https://t.co/jtE1cYJqNi
Caraca muito divertido encontrar amigos e poder passar... https://t.co/9l1LZHRHhj;
Fri May 27 23:52:22 +0000 2016;VickyJudoca;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Fri May 27 23:48:20 +0000 2016;SeuEsporteBR;Contagem Regressiva! Faltam 70 dias para os Jogos Olímpicos #Rio2016
#RumoAoRio #RoadToRio #RumboaRio #ChamaOlimpica https://t.co/sqj1RjHVy7;
Fri May 27 23:47:57 +0000 2016;eggroldaoo;RT @Rio2016: Bom dia! Olha aí o pórtico de chegada da cidade de Lagoa Grande, que recebe a @ChamaOlimpica nesta manhã! https://t.co/dHLqup0…;
Fri May 27 23:47:48 +0000 2016;alexpussieldi;RT @SeuEsporteBR: As medalhas olímpicas e paralímpicas #Rio2016 só serão divulgadas no dia 16/06. Só em Sidney (2000) houve "atraso". https…;
Fri May 27 23:47:23 +0000 2016;La_Gradamx;#Río2016
Gabriela Bayardo apuntada para @Rio2016 https://t.co/ryOBypSyh0 https://t.co/Y51JbDukSj;
Fri May 27 23:42:55 +0000 2016;cfredbastos;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Fri May 27 23:42:44 +0000 2016;El_Tijuanense;#Río2016
Gabriela Bayardo apuntada para @Rio2016 https://t.co/iZM5glGnRp https://t.co/35oz9AWGBP;
Fri May 27 23:39:10 +0000 2016;daninhadabahia;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Fri May 27 23:34:47 +0000 2016;daninhadabahia;RT @Rio2016: Bom dia! Olha aí o pórtico de chegada da cidade de Lagoa Grande, que recebe a @ChamaOlimpica nesta manhã! https://t.co/dHLqup0…;
Fri May 27 23:34:42 +0000 2016;daninhadabahia;RT @Rio2016: Os vaqueiros amigos do condutor da @ChamaOlimpica João Araújo vieram prestigiar o companheiro aqui em Lagoa Grande. https://t.…;
Fri May 27 23:34:40 +0000 2016;daninhadabahia;RT @Rio2016: Todas as gerações presentes em Lagoa Grande para apoiar os condutores da @ChamaOlimpica! https://t.co/bC3m85FWfd;
Fri May 27 23:34:23 +0000 2016;daninhadabahia;RT @Rio2016: Jocemar Rodrigues nasceu patriota no dia 7 de setembro. Ele conduziu a @ChamaOlimpica por Santa Maria da Boa Vista. https://t.…;
Fri May 27 23:32:49 +0000 2016;ronaldsaraujo;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Fri May 27 23:32:24 +0000 2016;daninhadabahia;RT @Rio2016: Fábia Santos é nascida em Cabrobó e é idealizadora da Copa Marcão de Futsal. Hoje ela conduziu a @ChamaOlimpica. https://t.co/…;
Fri May 27 23:32:04 +0000 2016;ishallon;RT @noticiascbj: ARRIBA, SARAH! Brasileira foi vice-campeã do #Judogdl2016, última competição antes do @Rio2016 ! #RoadtoRio https://t.co/k…;
Fri May 27 23:31:45 +0000 2016;daninhadabahia;RT @Rio2016: A Eduarda Jorge conduz a @ChamaOlimpica em Paulo Afonso. E as ruas da cidade já estão decoradas para sua caminhada. https://t.…;
Fri May 27 23:31:41 +0000 2016;pesquisabiomed;Cientistas sugerem à OMS adiamento ou troca de sede das Olimpíadas por conta da Zika #Rio2016 #zika https://t.co/eTpwGRcyo2;
