/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Apr 18 01:39:22 +0000 2016;SeuEsporteBR;Resultado final do evento teste de Ginástica. Brasil garantido nos Jogos Olímpicos e sendo CAMPEÃO! #Rio2016! https://t.co/zd9tSxv4v0;
Mon Apr 18 01:37:46 +0000 2016;bicaroll;Uma notícia boa: brasileiras com ouro por equipe no evento teste dos jogos olímpicos #Rio2016 da ginástica 😍😍😍;
Mon Apr 18 01:35:17 +0000 2016;desapd;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
Mon Apr 18 01:34:16 +0000 2016;yeshualcb;@Brasil2016 @Rio2016 agora sim!! 😁👏🏼💪🏼 em meio ao caos que vivemos na política, que o esporte nos traga mais alegrias!;
Mon Apr 18 01:33:49 +0000 2016;javcollao;@resentidaagogo @rio2016_es tristísimo lo de ROU :(;
Mon Apr 18 01:33:43 +0000 2016;yeshualcb;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
Mon Apr 18 01:33:34 +0000 2016;defast1;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
Mon Apr 18 01:33:10 +0000 2016;abdulalimuk;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
Mon Apr 18 01:32:43 +0000 2016;Brasil2016;Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016 #BR2016;
Mon Apr 18 01:32:29 +0000 2016;lucao_maia;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Mon Apr 18 01:30:21 +0000 2016;SurtoOlimpico;Brasil, Alemanha, França e Bélgica classificaram as suas equipes para a competição de Ginástica Artística feminina do @Rio2016;
Mon Apr 18 01:30:17 +0000 2016;EQueupumil;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 01:29:27 +0000 2016;marcusf40239885;RT @Brasil2016: Agora é oficial! A Seleção Feminina de Ginástica Artística CONQUISTOU a vaga por equipes no @Rio2016! Parabéns! https://t.c…;
Mon Apr 18 01:26:30 +0000 2016;rauldoliveira;RT @Rio2016: O técnico da seleção da 🇸🇪 #Suécia quer @Ibra_official no #Rio2016! E aí, @desimpedidos, que tal um novo #VemIbra? 😜 https://t…;
Mon Apr 18 01:23:25 +0000 2016;LauraLabarthe1;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:22:50 +0000 2016;lrvelasco;RT @laaficion: #Entérate: Madaí Pérez, se clasifica a @Rio2016 
 https://t.co/xyZawOn7yf https://t.co/v8Su5dAlGN;
Mon Apr 18 01:18:08 +0000 2016;PuigRocher;RT @agenciauva: @AlbertoFdezTiro conquistou seu /usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
segundo título mundial pelo @ISSF_Shooting, no evento-teste do #Rio2016. Confira: https://t…;
Mon Apr 18 01:15:05 +0000 2016;Jujuca1987;Premiação da prova de hoje dos 200md com o tempo de 2,14.37. #ecp #rio2016 #OAS https://t.co/q6BLSX6U8g;
Mon Apr 18 01:14:31 +0000 2016;Scullyskywalker;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 01:14:08 +0000 2016;Stormrcc;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 01:13:47 +0000 2016;MarceloLaguna;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:11:59 +0000 2016;pancha_marchant;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 01:11:33 +0000 2016;RosivanMedeiros;RT @alvarojosetv: Parabéns a equipe brasileira de ginastica artística feminina , classificada para os Jogos do #Rio2016  ....;
Mon Apr 18 01:11:09 +0000 2016;dudo13junior;RT @Jujuca1987: A atleta Joanna de Albuquerque Maranhão Bezerra de Melo,confirmada para sua 4a.Olimpiada # #rio2016 https://t.co/F3k5DGHBYY;
Mon Apr 18 01:10:45 +0000 2016;Mmesquitaalves;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
