/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jun 29 03:08:14 +0000 2016;JBarbosa2014;WELCOME TO OLYMPIC GAMES / RIO 2016 @Olympics!

(Eu amo o Rio! É um absurdo o que fazem com essa cidade!)

#RIO2016 https://t.co/rHamQruZqG;
Wed Jun 29 01:53:56 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Conhecidos os grupos do rugby sevens para o @Rio2016 https://t.co/dw1iNT0PQf https://t.co/HkGlSLjGaN;
Wed Jun 29 01:53:52 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto... @JDayGolf desiste do @Rio2016 https://t.co/vknGicROTa https://t.co/37PBU3wTHq;
Wed Jun 29 01:53:23 +0000 2016;paulo_manso;#Rio2016
NÃO VENHA!
Don't come! https://t.co/yO9DKIVld9;
Wed Jun 29 01:52:47 +0000 2016;SurtoOlimpico;Países, esportes, história, siglas...tudo isso no Mapa do Surto para o @Rio2016 https://t.co/lxKMIGN3oG https://t.co/lHZrt2DntG;
Wed Jun 29 01:52:46 +0000 2016;Jefrey_style;RT @CocaCola_Br: .@OUrsoOficial treinou o @FeCastanhari e @t3ddyyyyy pra conduzir a #TochaOlímpica #Rio2016. #IssoÉOuro https://t.co/xA4diH…;
Wed Jun 29 01:52:46 +0000 2016;its_olioti;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 01:52:32 +0000 2016;paulo_manso;#Rio2016
NÃO VENHA!
