/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jun 19 01:05:13 +0000 2016;martinchab1997;RT @Rio2016: Boa Vista já está preparada e super decorada para a celebração da noite e acendimento da pira com a #ChamaOlimpica https://t.c…;
Sun Jun 19 01:05:06 +0000 2016;xyzw12341;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:04:48 +0000 2016;veramartins;A #TochaOlímpica com o povo macuxi! https://t.co/YMHKpSSM98;
Sun Jun 19 01:04:10 +0000 2016;djvivizinha;E essa emoção boa coube tão bem nas palavras doces da maahrosario &lt;3 #MIRS #Repost @rio2016_es… https://t.co/2ypxOPmOOS;
Sun Jun 19 01:03:27 +0000 2016;lilian_tahan;RT @Metropoles: Para Comitê #Rio2016, calamidade não afeta organização da Olimpíada - https://t.co/YsVn0FC1Ps https://t.co/QoY56WmZ9V;
Sun Jun 19 01:03:24 +0000 2016;SoldadoCidadao;Causos da Caserna.
Novas historias &gt; @exercitooficial 
História 6 Banda de Música por Altura 
#Medalhas2016 #Rio2016 https://t.co/lJXlJK72xi;
Sun Jun 19 01:03:08 +0000 2016;arcanjocesar;A FESTA QUE FIZ NO QUARTO JOGANDO VIDEOGAME OUVINDO"LINK PARK"? https://t.co/Z9d3Bsh0BB #RIO2016 
O LINK DE RECOMENDAÇÃO DA BANDA PRESTIGIOU;
Sun Jun 19 01:02:43 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 O Grêmio sempre ganhou titulos jogando bola. Acabou o tempo de jogar fechado, o futebol hoje é outro;
Sun Jun 19 01:02:14 +0000 2016;DMagritte;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:02:02 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 têm do Grêmio. Vendem a imagem como se o Grêmio fosse o clube da Raça e não da qualidade técnica;
Sun Jun 19 01:01:44 +0000 2016;yoicoco773;RT @timebrasil: Nossos atletas vão dar seu melhor nos Jogos Olímpicos Jogos @Rio2016 #EuSouTimeBrasil https://t.co/5lcqDQZmI2;
Sun Jun 19 01:01:26 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 isso é ignorância ou apoio a mediocridade? Eu sou gremista e não concordo com a imagem que alguns torce;
Sun Jun 19 01:00:58 +0000 2016;cidrimcidrim;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:00:47 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 Estou cansado de discutir com meus amigos que defendem o futebol fechadinho, jogando por uma bola.;
Sun Jun 19 01:00:15 +0000 2016;Tonhao_Eterno;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 01:00:14 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 vi o time do Grêmio jogar com tanta qualidade em troca de passes e movimentação. Porque as pessoas n gosta;
Sun Jun 19 00:59:46 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 Será que as pessoas não vêem o obvio? O Roger é um treinador diferenciado, eu tenho 30 anos e quase nunca;
Sun Jun 19 00:59:08 +0000 2016;jornalemanuel;@andregallindo @noataque @Rio2016 é possivel porque deixamos de jogar de forma medrosa, por uma bola e voltamos a propor jogo. Viva o Roger;
