/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Feb 05 20:53:34 +0000 2016;leandropime;RT @MinisterioJovem: Venha participar vc tb do #circuitodecampeoes em #Rio2016 Faça parte dos 1.000 jovens sul-americanos nas Olimpíadas ht…;
Fri Feb 05 20:49:38 +0000 2016;TOVARYSAMIA;@Rio2016 ;  @timebrasil  - Agora é oficial: Sou um Voluntario dos Jogos Olimpicos Rio/16- MARCIO TOVAR de Santos/SP https://t.co/wtmJxg3j3S;
Fri Feb 05 20:49:07 +0000 2016;raphaelscostarj;@OperacoesRio @LeiSecaRJ Lembro q essa é a rota da delegação da #Rio2016...;
Fri Feb 05 20:44:23 +0000 2016;OfficialRafaelM;Sou #VoluntárioRio2016! Veja se você também é em https://t.co/AUelqQPctK;
Fri Feb 05 20:42:59 +0000 2016;flaviodilascio;Guerra do Engenhão: ação milionária e acusações movem disputa judicial #rio2016 #olympic https://t.co/NYmnNfxQd0 https://t.co/ztLxHep2RX;
Fri Feb 05 20:42:45 +0000 2016;ojordanalves;Sou #VoluntárioRio2016! Veja se você também é em https://t.co/AhFmrZN65g;
Fri Feb 05 20:37:27 +0000 2016;amaralalexandro;A quantidade de pessoas "morando" no Passeio Público, Centro do Rio, é espantosa. #Rio2016;
Fri Feb 05 20:31:11 +0000 2016;EtnSabrina;Eita!! Tá dando merda... #Rio2016 #carnaval  https://t.co/mNE2EeAMrY;
Fri Feb 05 20:30:15 +0000 2016;beatriztravalon;RT @JogosOlimpicos: Estamos chegando! Faltam seis meses para os Jogos @Rio2016! #RoadToRio ⚽🏊🏇🚴⛳🎾🏀🎯💛💚🌞 https://t.co/1YjSDvaDL0;
Fri Feb 05 20:25:23 +0000 2016;KatyaLacerda1;RT @MTurismo: Está aberto o processo seletivo para divulgação de roteiros do #TourDaTocha #Rio2016 https://t.co/hvYUE5Pw1l https://t.co/QEq…;
Fri Feb 05 20:14:35 +0000 2016;dearigueto;RT @JogosOlimpicos: Estamos chegando! Faltam seis meses para os Jogos @Rio2016! #RoadToRio ⚽🏊🏇🚴⛳🎾🏀🎯💛💚🌞 https://t.co/1YjSDvaDL0;
Fri Feb 05 20:12:15 +0000 2016;cfredbastos;RT @soudoesporte: Saiu a lista da seleção de rúgbi em cadeira de rodas para o evento-teste:
#JogosParalímpicos #Rio2016;
Fri Feb 05 20:12:11 +0000 2016;cfredbastos;RT @soudoesporte: Nos EUA, equipe feminina de ginástica entra em ação com foco no #Rio2016: https://t.co/pujp5He57S
#Ginástica #CBG;
Fri Feb 05 20:11:08 +0000 2016;FutebolMundial5;A seis meses da Olimpíada, veja como está o andamento das obras:  https://t.co/UkRYch7xnL;
Fri Feb 05 19:57:39 +0000 2016;nataliacantunes;Sua foto nos quartos das feras dos Jogos https://t.co/f0fBtoKCOc #olimpiadas;
Fri Feb 05 19:57:23 +0000 2016;Enquantorespira;Água da Baía de Guanabara vira polêmica em rede social nos EUA #G1 https://t.co/NHYK9Bo4Vi;
