/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sun Jan 31 19:51:54 +0000 2016| user = Fehh1D| text = RT @viciadaemlarry: Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
date = Sun Jan 31 19:51:17 +0000 2016| user = viciadaemlarry| text = Gostaria de pedir a banda One Direction p os Jogos Olímpicos do Rio! @Rio2016 
#HistoryProject
date = Sun Jan 31 19:39:56 +0000 2016| user = ribeiroivanir| text = RT @Brasil2016: Secretaria de Aviação Civil cita megaeventos passados para projetar sucesso no #Rio2016. https://t.co/uJNVigFx6g https://t.…
date = Sun Jan 31 19:21:16 +0000 2016| user = RubensSoler| text = Rio2016
Arena de lutas não previram área de aquecimento, na olimpíada irão armar uma barraca de lona.kkkkkk
date = Sun Jan 31 19:13:43 +0000 2016| user = andreyaze| text = @rio2016 minha carta miga, cadê minha carta??!?!?!?!?
date = Sun Jan 31 19:10:06 +0000 2016| user = DaniEncrenca| text = Descanse em paz🙏🏻🏋🏿: https://t.co/saQyvSyWU0
date = Sun Jan 31 19:06:19 +0000 2016| user = Rux_Clau| text = Cabra da peste.  #RioDeJaneiro #RioEuTeAmo #Rio2016 #grafite #arteurbana #artederua #urbanart #streetart #olheosmur… https://t.co/6OnDb2FdHv
date = Sun Jan 31 19:04:04 +0000 2016| user = aresta43| text = Cabra da peste.  #RioDeJaneiro #RioEuTeAmo #Rio2016 #grafite #grafitti #arteurbana #artederua… https://t.co/CRGdNxeK8g
date = Sun Jan 31 19:02:36 +0000 2016| user = HiddenPousadas| text = Ótimo apartamento em Ipanema perto da praia e da Lagoa, #RiodeJaneiro #Rio2016 https://t.co/ErhFzcA8lA https://t.co/47hepHQ7eh
date = Sun Jan 31 18:44:51 +0000 2016| user = MapurungaNeto| text = RT @alem_do_futebol: Handebol Masculino, Campeonato Europeu na Polônia, decisão do título e da vaga pra @Rio2016, Alemanha 24x17 Espanha #e…
date = Sun Jan 31 18:44:11 +0000 2016| user = andresmarin4| text = RT @Rio2016: Quer diversão e PRÊMIOS? #MeuRio2016 para Android: https://t.co/slwmqDbmF0 e iOS: https://t.co/7u55hNVki3 https://t.co/UZHuNMo…
date = Sun Jan 31 18:42:53 +0000 2016| user = Tato_2501| text = RT @ultimosegundo: Comitê Olímpico britânico teme impacto do #zika sobre atletas na @Rio2016 - https://t.co/IvhOWMF6bg https://t.co/DngylGT…
date = Sun Jan 31 18:25:42 +0000 2016| user = SurtoOlimpico| text = As sedes dos torneios ainda serão definidas. Dois de cada torneio garantem vaga no @Rio2016.
date = Sun Jan 31 18:15:16 +0000 2016| user = Divavm| text = Sou #VoluntárioRio2016! Veja se você também é em https://t.co/1e9KSVhlQr
date = Sun Jan 31 18:11:13 +0000 2016| user = doug_hand| text = RT @SurtoOlimpico: Fim de jogo!!! A Alemanha bate a Espanha por 24-17 vence o Europeu de Handebol Masculino e garante vaga no @Rio2016.
date = Sun Jan 31 18:09:15 +0000 2016| user = violgrachi2015| text = A ALEMANHA ESTA NO @Rio2016 VENCEU A ESPANHA 24 A 17 E VOLTA A OLIMPIADA NO HANDEBOL MASCULINO!!!!!!!!
date = Sun Jan 31 18:08:52 +0000 2016| user = SurtoOlimpico| text = Fim de jogo!!! A Alemanha bate a Espanha por 24-17 vence o Europeu de Handebol Masculino e garante vaga no @Rio2016.
date = Sun Jan 31 18:07:54 +0000 2016| user = alem_do_futebol| text = Handebol Masculino, Campeonato Europeu na Polônia, decisão do título e da vaga pra @Rio2016, Alemanha 24x17 Espanha #ehfeuro2016
date = Sun Jan 31 18:07:01 +0000 2016| user = maluiubel| text = Muito feliz em ver a Alemanha classificada para os Jogos Olímpicos!!!! Timaço Q só aumenta o nível da competição!!! 🇩🇪 #Handball #Rio2016
date = Sun Jan 31 17:56:08 +0000 2016| user = flaviodilascio| text = Arena Carioca 1 - Parque Olímpico da Barra da Tijuca #rio2016 #wrestling #rio #rj #arena… https://t.co/oYanovt5Am
date = Sun Jan 31 17:55:05 +0000 2016| user = okidokikadlec| text = Sou #VoluntárioRio2016! Veja se você também é em https://t.co/S67nzc7fAY
