/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 25 18:39:30 +0000 2016;Hemanfriemann;RT @Rio2016: #Futebol perde @JohanCruyff, astro do futebol holandês, aos 68 anos 😢😢 https://t.co/UfYnD1D0IA https://t.co/QyB0jOfsFF;
Fri Mar 25 18:35:35 +0000 2016;luciafwx;RT @Rio2016: #JogosParalímpicos: não dá pra explicar, #TemQueIr https://t.co/9sFfb3eeuX;
Fri Mar 25 18:35:27 +0000 2016;beBee_PT;Já imaginou como é um dia de trabalho de um voluntário do #RIO2016? O #hiveBlog te conta 👉 https://t.co/vCTLQxoOd5 https://t.co/Pm5LMST9LQ;
Fri Mar 25 18:32:19 +0000 2016;Zico21Gylmar;RT @Rio2016: Aproveita o tempo livre no feriadão para mostrar sua arte no nosso app! Ela pode virar #NossosSelosRio2016 https://t.co/QOzlTO…;
Fri Mar 25 18:32:01 +0000 2016;Laurafwx;RT @Rio2016: #JogosParalímpicos: não dá pra explicar, #TemQueIr https://t.co/9sFfb3eeuX;
Fri Mar 25 18:31:56 +0000 2016;Neerlandaise01;RT @Rio2016: #Futebol perde @JohanCruyff, astro do futebol holandês, aos 68 anos 😢😢 https://t.co/UfYnD1D0IA https://t.co/QyB0jOfsFF;
Fri Mar 25 18:30:49 +0000 2016;EmbaixadaEUA;Na #esgrima, é preciso ter bom #reflexo e muita #atenção! Aprenda + detalhes sb este esporte p/ #Rio2016: https://t.co/TSqWWM8G7j #USinRio;
Fri Mar 25 18:25:57 +0000 2016;YesbananasSport;Yes!Sports - Diego Hypolito leva ouro em etapa da Copa do Mundo de ginástica artística:  https://t.co/qWonAXlMmf #sports #esportes;
Fri Mar 25 18:25:52 +0000 2016;FutebolMundial5;Diego Hypolito leva ouro em etapa da Copa do Mundo de ginástica artística:  https://t.co/GIzYIpCzzG;
Fri Mar 25 18:25:52 +0000 2016;FutebolEspiao;Diego Hypolito leva ouro em etapa da Copa do Mundo de ginástica artística https://t.co/rnGeAkAAkZ;
Fri Mar 25 18:25:50 +0000 2016;PortalEsporte10;Diego Hypolito leva ouro em etapa da Copa do Mundo de ginástica artística https://t.co/95v7vyb9iR;
Fri Mar 25 18:25:48 +0000 2016;irafaelbarros;Diego Hypolito leva ouro em etapa da Copa do Mundo de ginástica artística:  https://t.co/0LHWiMZZEF;
Fri Mar 25 18:25:46 +0000 2016;BrunoJaquet03;Diego Hypolito leva ouro em etapa da Copa do Mundo de ginástica artística:  https://t.co/F3i4z3hH8w;
Fri Mar 25 18:23:51 +0000 2016;RodneyMooij;RT @Rio2016: #Futebol perde @JohanCruyff, astro do futebol holandês, aos 68 anos 😢😢 https://t.co/UfYnD1D0IA https://t.co/QyB0jOfsFF;
Fri Mar 25 18:20:09 +0000 2016;feestman;RT @Rio2016: #Futebol perde @JohanCruyff, astro do futebol holandês, aos 68 anos 😢😢 https://t.co/UfYnD1D0IA https://t.co/QyB0jOfsFF;
Fri Mar 25 18:16:59 +0000 2016;apostaganha;Dois sonham com os jogos olímpicos de 2016
https://t.co/NpdjwdTj6P
#colombia #usa #apostas #rio2016 #olimpiadas #bet https://t.co/4MhBLldPIt;
Fri Mar 25 18:16:11 +0000 2016;AntnioCarlosAl6;RT @TomRio2016: Essa noite sonhei que já estava na abertura do @Rio2016, festejando com todo mundo numa festa mto animada! 😍 https://t.co/F…;
Fri Mar 25 18:10:52 +0000 2016;adailton_farf;RT @Rio2016: Aproveita o tempo livre no feriadão para mostrar sua arte no nosso app! Ela pode virar #NossosSelosRio2016 https://t.co/QOzlTO…;
Fri Mar 25 18:10:17 +0000 2016;vanessacabralsp;Não faça nada que um atleta Olímpico não faria... #Rio2016 https://t.co/5sNtAKs4ye;
Fri Mar 25 18:04:56 +0000 2016;AnnaLuGama;RT @oConsciente: TVNBR: RT TomRio2016: Essa noite sonhei que já estava na abertura do Rio2016, festejando com todo mundo numa festa… https:…;
Fri Mar 25 18:03:40 +0000 2016;marcelmerguizo;Vôlei do Brasil jogará à noite na quadra e durante o dia na praia na Olimpíada https://t.co/OPErJXfGS6 #Rio2016 #TimeBrasil #Olímpicos;
