/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sat Mar 05 03:09:40 +0000 2016| user = claudiabambini| text = Fofas as medalhas do #Rio2016  né?!😏😏😏 https://t.co/Kq3eezjbt6
date = Fri Mar 04 20:15:16 +0000 2016| user = lateralzeca| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 20:15:01 +0000 2016| user = amlemosdev| text = Se tirar uma foto, a tardinha tá fresca. Mas na real não tá. #Rio2016
date = Fri Mar 04 20:11:37 +0000 2016| user = luciana| text = RT @almadebatera: Nós fomos convidados a conduzir a tocha olímpica.Aqui o Time de condutores Bradesco!Momento indescritível! #Rio2016 https…
date = Fri Mar 04 20:10:04 +0000 2016| user = alem_do_futebol| text = @calb995 @viniciuspvaz @Rio2016 Sinceramente??? Vou torcer, muito, mas não tenho muita esperança não. Será muito difícil!
date = Fri Mar 04 20:09:19 +0000 2016| user = cfdays| text = RT @OsvaldoAguiar: É o Brasil nas olimpíadas  #Rio2016 !!!! https://t.co/QSmPpW6fVU
date = Fri Mar 04 20:09:03 +0000 2016| user = robertaseabra| text = RT @basquetebrasil: O sorteio dos grupos do basquete para os Jogos Olímpicos da @Rio2016, será no dia 11 de março, às 11h30. #SomosTodosBas…
date = Fri Mar 04 20:09:02 +0000 2016| user = alem_do_futebol| text = @viniciuspvaz @calb995 @Rio2016 Pelo que entendi serão 2 Pré-Mundiais: Mongólia e Turquia. No feminino (ainda) não temos vagas nos 53 e 48kg
date = Fri Mar 04 20:08:12 +0000 2016| user = calb995| text = @alem_do_futebol @viniciuspvaz @Rio2016 v tem esperança nos homens?
date = Fri Mar 04 20:06:58 +0000 2016| user = viniciuspvaz| text = @alem_do_futebol @calb995 @Rio2016 Hum, a ultima chance d qm nao cnquistou vaga hj é via pré-mundial ne? ficamos sem vaga em qts categorias?
date = Fri Mar 04 20:05:25 +0000 2016| user = alem_do_futebol| text = @calb995 @viniciuspvaz @Rio2016 Correto. Aline já tinha vaga. As outras três conquistaram hoje. Amanhã é a vez dos homens na luta livre.
date = Fri Mar 04 20:04:48 +0000 2016| user = OsvaldoAguiar| text = É o Brasil nas olimpíadas  #Rio2016 !!!! https://t.co/QSmPpW6fVU
date = Fri Mar 04 20:02:44 +0000 2016| user = almadebatera| text = Nós fomos convidados a conduzir a tocha olímpica.Aqui o Time de condutores Bradesco!Momento indescritível! #Rio2016 https://t.co/8AxEi4uLzs
date = Fri Mar 04 20:01:51 +0000 2016| user = nitibailoff_| text = Hoje comprei um #clorets e só tinha um na caixinha.
Esse é o país que vai sediar as #olimpiadas2016 ?
#Rio2016 https://t.co/ZhF7VodUhW
date = Fri Mar 04 19:59:48 +0000 2016| user = brenobarros| text = o campo fica na UFRJ, no Rio de Janeiro. ele servirá p/ treinamento de equipes p/ #Rio2016
date = Fri Mar 04 19:58:38 +0000 2016| user = calb995| text = @alem_do_futebol @viniciuspvaz @Rio2016 até onde sei estao classificadas Lais, Aline, gilda e joice certo?
date = Fri Mar 04 19:57:50 +0000 2016| user = NascimentoFeeh| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 19:57:45 +0000 2016| user = KikaKahshan| text = RT @Rio2016: #TochaOlímpica vai apresentar ao mundo alguns dos lugares mais bonitos do Brasil #ChamaGeral https://t.co/5AXRanYiSn https://t…
date = Fri Mar 04 19:55:52 +0000 2016| user = SporTV| text = RT @MarceloLaguna: No @SporTV 2, rolando o Mundial de ciclismo de pista. Daqui a pouco, Gideoni Monteiro em nova prova do Omnium. Vale vaga…
date = Fri Mar 04 19:54:59 +0000 2016| user = WevertonSDL| text = RT @basquetebrasil: O sorteio dos grupos do basquete para os Jogos Olímpicos da @Rio2016, será no dia 11 de março, às 11h30. #SomosTodosBas…
date = Fri Mar 04 19:54:38 +0000 2016| user = Sfc_24hrs| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 19:53:35 +0000 2016| user = Frioacero| text = RT @Rio2016: . @marielzagunis, da #esgrima, tentará no #Rio2016 a medalha que escapou em #Londres2012: https://t.co/dCHxfJ28c2 https://t.co…
date = Fri Mar 04 19:53:05 +0000 2016| user = juamartinavalos| text = RT @ViniciusRio2016: O @rio2016 vai rolar na #CidadeMaravilhosa e é em Copa que vamos ver o #VôleiDePraia, cheio de grandes atletas! 😎 http…
date = Fri Mar 04 19:51:19 +0000 2016| user = patyie66| text = RT @jmlpyt: Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/Y7kCQQS37V https://t.co/rp2gm1cBym
date = Fri Mar 04 19:48:33 +0000 2016| user = LizGodoi| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 19:48:04 +0000 2016| user = marcusalbuque| text = Rumo ao pódio! #judô #cbj #timebrasil #ipponneles #rio2016 #olimpics #olimpíadas #medalhas #espetáculo https://t.co/YyQCzK6mvU
date = Fri Mar 04 19:44:58 +0000 2016| user = CBB_basquete| text = RT @basquetebrasil: O sorteio dos grupos do basquete para os Jogos Olímpicos da @Rio2016, será no dia 11 de março, às 11h30. #SomosTodosBas…
date = Fri Mar 04 19:44:38 +0000 2016| user = guiilhermelongo| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
