/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 18 03:06:17 +0000 2016;Lyviaaramos;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Thu Mar 17 22:23:01 +0000 2016;mateusmachado08;RT @SurtoOlimpico: Em primeira mão, o uniforme do basquete do Brasil para o @Rio2016 (via @ChrisChavezSI) https://t.co/v840exhZ13;
Thu Mar 17 22:22:05 +0000 2016;alexaperez30;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Thu Mar 17 22:17:01 +0000 2016;p_ishibashi;Fica a dica!!! #vemprorugby #rio2016 #brasilrugby #issoéorugby #timebrasil https://t.co/hGNdsdRKjc;
Thu Mar 17 22:15:28 +0000 2016;itaipavaarenafn;Confira mais informações e compre o seu ingresso já: https://t.co/RCuE5Xe7Yv.
 
#ArenaFonteNova #Olimpíadas2016;
Thu Mar 17 22:04:38 +0000 2016;ptyxtreme;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Thu Mar 17 22:01:14 +0000 2016;travinha_esp;#Futebol5: Brasil é campeão de torneio internacional na China. #EsporteParaimpico @Rio2016 https://t.co/rNZRyMUbam https://t.co/WJCIJSOSod;
Thu Mar 17 21:58:12 +0000 2016;fedetkdpty;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Thu Mar 17 21:56:44 +0000 2016;elohimyeshua777;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
