/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue Mar 29 23:42:32 +0000 2016;DEVINAREEVE;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:37:28 +0000 2016;adilainemont;RT @Rio2016: Desenhe, baixe o nosso app, encaixe sua arte no formato, envie. Seu desenho pode virar selo dos @CorreiosBR ! https://t.co/1iO…;
Tue Mar 29 23:37:12 +0000 2016;aneerica;RT @thalescmachado: 129 dias para o @Rio2016 e não sabe-se quem será:
 
- o Ministro do Esporte
- o Presidente
- que acenderá a pira.
- o t…;
Tue Mar 29 23:36:25 +0000 2016;JJakciel;RT @Rio2016: O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/…;
Tue Mar 29 23:35:22 +0000 2016;cidade_maravilh;RT @guiifavero_: E o rolêzin desse próximo final de semana vai ser pro #RioDeJaneiro eim. \o/ #Rio2016;
Tue Mar 29 23:34:27 +0000 2016;RIO450CAOS;RT @GilsonRGrimes: @RIO450CAOS faça como ele fez com Maricá: É um prefeito de M... #tamojunto #Rio2016;
Tue Mar 29 23:33:40 +0000 2016;vidoesporte;22h30, horário de Brasília. https://t.co/LMYRK1iLGI;
Tue Mar 29 23:32:39 +0000 2016;ItouKenichi;RT @Rio2016: O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/…;
Tue Mar 29 23:31:08 +0000 2016;cronistaesporte;Atenção! https://t.co/AbQG9kPUh6;
Tue Mar 29 23:30:20 +0000 2016;ArajoDarcy;RT @Rio2016: O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/…;
Tue Mar 29 23:30:16 +0000 2016;Rio2016;O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/mKuq4UQVXm;
Tue Mar 29 23:29:51 +0000 2016;Katakana071;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:27:40 +0000 2016;Markbe2020;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:27:18 +0000 2016;queliorodrigues;RT @AndressaKellyPH: 'Brasil está preparado', diz ministro sobre possíveis atentados nos Jogos https://t.co/UXTN2yE8Cf;
Tue Mar 29 23:26:03 +0000 2016;CoxinhaNerd;Conheça a tecnologia dos jogos #Rio2016! :)
&gt;&gt; https://t.co/mJeyqx6XXm https://t.co/TzlY30KRfG;
Tue Mar 29 23:25:43 +0000 2016;HansSylvia;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:24:56 +0000 2016;marichivalero;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:23:56 +0000 2016;guiifavero_;E o rolêzin desse próximo final de semana vai ser pro #RioDeJaneiro eim. \o/ #Rio2016;
Tue Mar 29 23:21:12 +0000 2016;annastubert;A cada treinamento realizado, a ansiedade só aumenta. Chega logo @Rio2016;
Tue Mar 29 23:18:15 +0000 2016;eduardodumbo;O vinho oficial das @Olimpiadas é gaúcho, @lidiocarraro foi apresenta hoje no Palácio Piratini . #Rio2016 https://t.co/VIMl3DFnX5;
Tue Mar 29 23:18:12 +0000 2016;EByzio;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:18:02 +0000 2016;GilsonRGrimes;@RIO450CAOS faça como ele fez com Maricá: É um prefeito de M... #tamojunto #Rio2016;
Tue Mar 29 23:17:08 +0000 2016;TatsuyaMakabe;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:16:45 +0000 2016;flaviodilascio;Furtada, lutadora goiana garantida nas Olimpíadas terá novas medalhas https://t.co/ee2kw8c5Lo #wrestling #Rio2016 https://t.co/1qm6g5PU5D;
Tue Mar 29 23:14:55 +0000 2016;channel100TV;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 23:14:49 +0000 2016;sgorodrigues;#RiograndedoSul e #Rio2016 estão falidos muita depressão não só no mercado mas na vida do povo;
Tue Mar 29 23:13:06 +0000 2016;Picharillo77;À espera de Dunga, comissão técnica para Olimpíada é incógnita para a CBF https://t.co/58rqqeKBZG #Rio2016  Dunga já é uma incógnita !!!;
Tue Mar 29 23:13:03 +0000 2016;Dianinhaa_Ma;RT @exercitooficial: Sargento Renzo Agresta conquista a classificação na esgrima para os Jogos #Rio2016 https://t.co/KO007MbIIY https:/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
//t.c…;
Tue Mar 29 23:11:56 +0000 2016;TheOneMMA;RT @CeubWrestling: We're back! Obrigado ao @CBW_Oficial @UniCEUB_Oficial @minesporte por acreditar!👍💪🙏🏻 #Wrestling #Rio2016 #TimeBrasil htt…;
Tue Mar 29 23:11:35 +0000 2016;Ramo_Jr;RT @Picharillo77: Obra olímpica tem R$ 128,5 milhões bloqueados por suspeita de fraude https://t.co/b5L3ZZjPpU via @UOLEsporte #Rio2016;
Tue Mar 29 23:11:03 +0000 2016;Picharillo77;Obra olímpica tem R$ 128,5 milhões bloqueados por suspeita de fraude https://t.co/b5L3ZZjPpU via @UOLEsporte #Rio2016;
Tue Mar 29 23:09:21 +0000 2016;cidade_maravilh;RT @carlosneves1971: @g1 parabéns #cariocas presente do Pezão pro'cês #RioDeJaneiro #Rio2016 https://t.co/pVwb1movW0;
Tue Mar 29 23:08:53 +0000 2016;CoxinhaNerd;Gostei de um vídeo @YouTube de @coxinhanerd https://t.co/p8RsVFgIy5 A tecnologia do #Rio2016 | Vlog;
Tue Mar 29 23:08:11 +0000 2016;anttoniocbm;4G LTE da @TIMBrasil a cada dia melhor, parabéns. Mais antenas de 700mhz por favor #Telecom #Rio2016 #SemFronteiras;
Tue Mar 29 23:08:08 +0000 2016;carlosneves1971;@g1 parabéns #cariocas presente do Pezão pro'cês #RioDeJaneiro #Rio2016 https://t.co/pVwb1movW0;
Tue Mar 29 23:08:00 +0000 2016;channel100TV;RT @TheNewYokohamar: “@tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 …… https://t.co/3S6n…;
Tue Mar 29 23:06:58 +0000 2016;CeubWrestling;We're back! Obrigado ao @CBW_Oficial @UniCEUB_Oficial @minesporte por acreditar!👍💪🙏🏻 #Wrestling #Rio2016 #TimeBrasil https://t.co/NAsjiomB91;
Tue Mar 29 23:03:26 +0000 2016;TheOneMMA;We're back! Obrigado ao @CBW_Oficial @UniCEUB_Oficial @minesporte por acreditar!👍💪🙏🏻 #Wrestling #Rio2016 #TimeBrasil https://t.co/eD1hg3J9pz;
Tue Mar 29 23:01:51 +0000 2016;JooJoopedro2002;RT @selecaoportugal: INTERVALO. Boa 1ª parte da Seleção Nacional. Golos de Diogo Jota e Rúben Neves. #PORxMEX #Rio2016 https://t.co/NUXdXln…;
Tue Mar 29 22:59:22 +0000 2016;AndressaKellyPH;'Brasil está preparado', diz ministro sobre possíveis atentados nos Jogos https://t.co/UXTN2yE8Cf;
Tue Mar 29 22:59:10 +0000 2016;Julianacampota;RT @AfonsoF25: De volta a casa, de coração cheio! 

#Portugal #FPF #Rio2016 https://t.co/06KqfWO2Yp;
Tue Mar 29 22:57:34 +0000 2016;channel100TV;Welcome Rio de Janeiro #RT @MarcariYuste 
@tvfloripa @kentkristensen1 @channel100TV @tvmercure #Rio2016;
Tue Mar 29 22:55:07 +0000 2016;VelascoM784;RT @voluntaRIOs16: Felicidades! Felicitats! Parabéns! Nos vemos en #Rio2016 #JJOO https://t.co/Rbw8JDT7vP;
Tue Mar 29 22:54:37 +0000 2016;MarcariYuste;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 22:54:28 +0000 2016;_SiilvaSCFC;RT @SiteLF: Aquecimento Olímpico: #Golfe || https://t.co/J81MFcr9VP || Por: @_SiilvaSCFC #Rio2016 #Olimpiadas https://t.co/rSSDo9fQtE;
Tue Mar 29 22:52:57 +0000 2016;Mercado_Fut;Dirigente do COB se preocupa com faltas de atletas em exames antidoping:  https://t.co/eab53aUElJ;
Tue Mar 29 22:52:55 +0000 2016;Mercado_Fut;Dirigente do COB se preocupa com faltas de atletas em exames antidoping:  https://t.co/KT3y5tnRBi;
Tue Mar 29 22:51:12 +0000 2016;agnaldoregojr;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Tue Mar 29 22:40:25 +0000 2016;voluntaRIOs16;Felicidades! Felicitats! Parabéns! Nos vemos en #Rio2016 #JJOO https://t.co/Rbw8JDT7vP;
Tue Mar 29 22:39:39 +0000 2016;_naldorabello;RT @Dedeebs: Coé me arranja um emprego ai @Rio2016;
Tue Mar 29 22:39:36 +0000 2016;MarylinTatton;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Tue Mar 29 22:38:37 +0000 2016;lucaszasou;RT @Dedeebs: Coé me arranja um emprego ai @Rio2016;
Tue Mar 29 22:37:24 +0000 2016;dinyrose31;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Tue Mar 29 22:36:34 +0000 2016;ScherBatSKYer;Que falta de sanidade https://t.co/sMXxdpXycq;
Tue Mar 29 22:30:24 +0000 2016;inesbfc_;RT @AfonsoF25: De volta a casa, de coração cheio! 

#Portugal #FPF #Rio2016 https://t.co/06KqfWO2Yp;
Tue Mar 29 22:30:01 +0000 2016;BeAwesome_Laugh;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
